variable,question_text,description,type,values
consent,Do you consent to participate in this study?,Consent to participate and allow anonymised data to be published openly.,categorical,Allowed values: yes
age_group,What is your age?,Age category.,categorical,Allowed values: 18_24; 25_34; 35_44; 45_54; 55_plus
gender,What is your gender?,Participant gender identity.,categorical,Allowed values: female; male; other; prefer_not_to_say
primary_daily_activity,What best describes your primary daily activity?,Primary activity that best describes the participant’s typical daily role.,categorical,Allowed values: caregiving; other; retired; study; unemployed; work
country,Country of residence,Country participant lives in.,categorical,Allowed values: au; ca; ie; nz; uk; us
hours_online_per_day,"On average, how many hours do you spend online each day? (self-estimate)",Average amount of hours spent online per day,categorical,Allowed values: 11_12_hours; 2_4_hours; 5_6_hours; 7_8_hours; 9_10_hours; gt_12_hours; lt_2_hours
energy_after_long_online_time,"On days when you spend more than 4 hours online, how would you describe your energy afterward?",How participants describe their energy levels after spending more than four hours online.,categorical,Allowed values: energized; exhausted; neutral; tired; very_energized
feeling_after_long_online_one_word,What's one word that best describes how you feel after long periods online?,One-word description of how participants feel after long periods online.,text,"Open-text responses describing participants’ feelings after long periods online. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
positive_feeling_online_one_word,What's one word that describes a positive feeling you get from being online?,One-word description of a positive feeling participants experience from being online.,text,"Open-text responses describing a positive feeling participants get from being online. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
feeling_after_regretting_online_time_one_word,What’s one word that best describes how you feel after regretting time spent online?,One-word description of how participants feel after regretting their time spent online.,text,"Open-text responses describing participants’ feelings after regretting time spent online. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
regret_time_online_frequency,How often do you regret the amount of time you spend online in a typical day?,Frequency with which participants regret the amount of time they spend online.,categorical,Allowed values: always; never; often; sometimes
preferred_alternative_activities_multi,Think of a moment when you regretted how you spent your time online. Which of the following activities would you have preferred to do instead? (Select up to 3),Preferred alternative activities participants would have chosen instead of regretted online time.,multi_select,Multi-select; stored as semicolon-separated snake_case tokens: aligned_with_my_values; fun_or_joyful; improve_me_for_tomorrow; improved_my_day_now; meaningful_or_purposeful; necessary_responsibilities; truly_relaxed_me
values_alignment_focus_energy_effect,"When your online activity reflects your personal values (e.g. learning, connecting with family, contributing), how does it affect your focus and energy?",Effect of values-aligned online activity on participants’ focus and energy.,categorical,Allowed values: much_less_focused; much_more_focused; somewhat_less_focused; somewhat_more_focused
values_alignment_content_trust_effect,"When content aligns with your values (e.g. honesty, fairness, respect), how does it affect how much you trust it?",How value alignment influences participants’ trust in online content.,categorical,Allowed values: no_difference; trust_less; trust_much_less; trust_much_more; trust_somewhat_more
loneliness_after_online_frequency,How often do you feel lonely or disconnected after spending time online?,Frequency of feeling lonely or disconnected after time spent online.,categorical,Allowed values: almost_always; never; often; rarely; sometimes
self_feeling_after_social_media_one_word,What’s one word that best describes how you feel about yourself after spending time on social media?,One-word description of how participants feel about themselves after using social media.,text,"Open-text responses describing how participants feel about themselves after time spent on social media. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
question_reality_frequency,How often do you question whether online content is real or trustworthy?,Frequency with which participants question whether online content is real or trustworthy.,categorical,Allowed values: almost_always; never; often; rarely; sometimes
least_trusted_content_types_multi,Which types of online content do you trust the least? (select up to 2),Types of online content participants trust the least.,multi_select,Multi-select; stored as semicolon-separated snake_case tokens: emails_messages; images_photos; news; social_media; videos
feeling_when_realise_content_false_one_word,What’s one word that best describes how you feel when you realise something online was false or misleading?,One-word description of how participants feel upon realising online content was false or misleading.,text,"Open-text responses describing participants’ feelings when discovering that online content was false or misleading. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
